input_id,model,quant_level,n_pairs,n_skipped_pairs,nli_contradiction_max_mean,nli_contradiction_max_mean_std,nli_contradiction_mean_mean,nli_contradiction_mean_mean_std,nli_contradiction_q90_mean,nli_contradiction_q90_mean_std
MAIN-079,Qwen-MediCare-BD,Q5_K_M,190,0,0.6326683042631919,0.2987074537083156,0.2259863280139829,0.1268446423418207,0.5056285798233296,0.2491253930628913
MAIN-079,Qwen-MediCare-BD,Q6_K,190,0,0.5372183604247949,0.2792565339786115,0.1990559272486706,0.1339288660255445,0.4380966298994807,0.2627483206108594
MAIN-080,Gemma-3-4B-it,Q3_K_M,190,0,0.9713519557059774,0.0294995820785214,0.1830691800229478,0.0317966667922469,0.7175681346132772,0.125841778176485
MAIN-080,Gemma-3-4B-it,Q4_K_M,190,0,0.9887837985674738,0.0132945206927323,0.2370986387515575,0.0304439064774833,0.8490290097877371,0.0678583716934903
MAIN-080,Gemma-3-4B-it,Q5_K_M,190,0,0.9968394309202012,0.0071485122407495,0.2792532070373634,0.0294362146997433,0.9112298165614876,0.0452103725349812
MAIN-080,Gemma-3-4B-it,Q6_K,190,0,0.9965631745340228,0.0055198474732838,0.2641764389924733,0.0329267460919841,0.8974555141622695,0.0462738537925664
MAIN-080,Phi-4-mini-instruct,Q3_K_M,190,0,0.5949964802467717,0.2338950037542421,0.1498267592223768,0.0938701752952483,0.4004705739896867,0.2024362568172507
MAIN-080,Phi-4-mini-instruct,Q4_K_M,190,0,0.4357304173767717,0.2095722323256602,0.0890059575960131,0.050325316569455,0.2513931479176371,0.147805585331935
MAIN-080,Phi-4-mini-instruct,Q5_K_M,190,0,0.5933100525485429,0.1545445249460762,0.114071140611747,0.0417909464916449,0.3358853581044012,0.1333143878010051
MAIN-080,Phi-4-mini-instruct,Q6_K,190,0,0.5029213086956895,0.1749333754626844,0.0936566622082009,0.04006575121417,0.2801614345557334,0.1286724131848158
MAIN-080,Qwen-MediCare-BD,Q3_K_M,190,0,0.7454371752573474,0.1859088615805374,0.2842693838986314,0.1358663909613746,0.6058245424384622,0.2001867552816472
MAIN-080,Qwen-MediCare-BD,Q4_K_M,190,0,0.8020741506256251,0.1504723040204593,0.2450476334590659,0.0796011376562128,0.6527831115219943,0.1728616858501282
MAIN-080,Qwen-MediCare-BD,Q5_K_M,190,0,0.791991645732696,0.2607834842663747,0.2469190515885558,0.0984728000150159,0.648552200448726,0.222725194062834
MAIN-080,Qwen-MediCare-BD,Q6_K,190,0,0.8058871435705328,0.2576150591389707,0.2836084898969822,0.1198241897501825,0.6827206220594645,0.2343525478066212
MAIN-081,Gemma-3-4B-it,Q3_K_M,190,0,0.965326722643596,0.0419483186907262,0.2438081693347576,0.0431736115138656,0.8263536916323954,0.1099039539597859
MAIN-081,Gemma-3-4B-it,Q4_K_M,190,0,0.988360815680409,0.0120520582893712,0.2493162447693744,0.0262381934596742,0.8808869110973292,0.0589227898488278
MAIN-081,Gemma-3-4B-it,Q5_K_M,190,0,0.9865253634410616,0.0177171373211942,0.2657753201661784,0.0344142721259334,0.8780043295904438,0.0563459279919193
MAIN-081,Gemma-3-4B-it,Q6_K,190,0,0.9806367710175145,0.0212551071610289,0.2561965675131547,0.0339778458598555,0.8491969774228081,0.0724191294518287
MAIN-081,Phi-4-mini-instruct,Q3_K_M,190,0,0.6274169718552594,0.1949304867120076,0.1360201619876961,0.0455014684645412,0.3992689957041769,0.1423969048471514
MAIN-081,Phi-4-mini-instruct,Q4_K_M,190,0,0.6880767564292835,0.202155407891016,0.1181194476835833,0.0368434014016633,0.400282999969565,0.1518213131332695
MAIN-081,Phi-4-mini-instruct,Q5_K_M,190,0,0.7341635139469411,0.1338662303043897,0.1231007955108765,0.0338246000247271,0.4144472642434448,0.1306207747277568
MAIN-081,Phi-4-mini-instruct,Q6_K,190,0,0.6672009149331171,0.2060371564688893,0.1363058157332273,0.0491277182815275,0.4167195926260548,0.1690988765385929
MAIN-081,Qwen-MediCare-BD,Q3_K_M,190,0,0.5706542836092033,0.2660443585489754,0.1709053335287813,0.0926064634443547,0.4313463560367839,0.2272242050966189
MAIN-081,Qwen-MediCare-BD,Q4_K_M,190,0,0.6396645195692553,0.2229681002106932,0.1802854860598655,0.0857122865337929,0.4717683495159324,0.1943895359679716
MAIN-081,Qwen-MediCare-BD,Q5_K_M,190,0,0.3726136496780112,0.1991736329383649,0.0976334477938948,0.0562834092690497,0.2604179743066641,0.1472993822159676
MAIN-081,Qwen-MediCare-BD,Q6_K,190,0,0.447169093669656,0.1860280145574465,0.1227625159412893,0.0631474811654262,0.3185754372853421,0.1439661239069522
