input_id,model,quant_level,n_pairs,n_skipped_pairs_x,bertscore_f1_mean,bertscore_f1_std,rougeL_f1_mean,rougeL_f1_std,n_skipped_pairs_y,medcon_f1_mean,medcon_f1_std,mean_cui_count,n_skipped_numeric,numeric_jaccard_mean,numeric_jaccard_std,mean_fact_count
MAIN-004,Gemma-3-4B-it,Q4_K_M,190,0,0.7645684938681753,0.06192523961336446,0.43670360451036594,0.13104601974207833,0,0.7116523828762692,0.10155745254880061,98.9,0,0.7473684210526316,0.2987955027048553,1.9
MAIN-004,Gemma-3-4B-it,Q5_K_M,190,0,0.7449311199941133,0.0293227508048031,0.3940987668743593,0.08296289510007314,0,0.659100889033138,0.07503815447446939,123.85,0,0.6189473684210526,0.26724595948114793,1.7
MAIN-004,Gemma-3-4B-it,Q6_K,190,0,0.7767463765646282,0.04287387220478251,0.4847076717953257,0.12126891131902527,0,0.6731580054664078,0.08506258221249564,132.6,0,0.7605263157894737,0.2834713081582773,1.85
MAIN-004,Phi-4-mini-instruct,Q3_K_M,190,0,0.6537749259095443,0.04112825972734605,0.2487320614365021,0.06442752125265758,0,0.5457358544717044,0.10178267185522342,83.8,0,0.6179824561403509,0.2789757653358605,1.95
MAIN-004,Phi-4-mini-instruct,Q4_K_M,190,0,0.6880037263820046,0.03334857282415789,0.29442604849223325,0.05726967646872551,0,0.6506841110199775,0.08707478818336571,79.6,0,0.7228070175438596,0.25729854915161465,1.4
MAIN-004,Phi-4-mini-instruct,Q5_K_M,190,0,0.657919874473622,0.06741989932296977,0.24374809177574694,0.07694319914225846,0,0.5284900225629179,0.19066681942854324,89.6,0,0.8657894736842106,0.22215433382393995,1.85
MAIN-004,Phi-4-mini-instruct,Q6_K,190,0,0.6803133424959684,0.030385640910424908,0.2700016249211697,0.04656692022210942,0,0.6029169534377326,0.1022221748387588,86.85,0,0.8105263157894737,0.23584005769486083,2.1
MAIN-004,Qwen-MediCare-BD,Q3_K_M,190,0,0.5901894029818083,0.10475746408203536,0.247029604367997,0.1668599592053142,0,0.5762996428105229,0.15882379115897377,53.9,0,0.3394736842105263,0.4255649675805768,1.2
MAIN-004,Qwen-MediCare-BD,Q4_K_M,190,0,0.6325353887520339,0.04474463411250017,0.2134734416406383,0.0536460976599149,0,0.5202685591320403,0.10363360960642119,71.2,0,0.24422932330827066,0.24962022482373045,2.6
MAIN-004,Qwen-MediCare-BD,Q5_K_M,190,0,0.6084068364218662,0.05811172273500907,0.18851625964117175,0.08042350638365175,0,0.33544826951498063,0.1622716841470203,70.95,0,0.38028404344193817,0.35896776865485697,2.05
MAIN-004,Qwen-MediCare-BD,Q6_K,190,0,0.605682237838444,0.049844366121127304,0.16732505259042071,0.06265839031097344,0,0.3158427428244018,0.12013229002692681,78.85,0,0.19300125313283206,0.25321167583999377,2.35
